Christine Lakin     Joyce Kinney    6 - Brian Writes a Bestseller
Bill Maher  Himself     6 - Brian Writes a Bestseller
Ashley Tisdale  Kelly   6 - Brian Writes a Bestseller
Drew Barrymore  Jillian     7 - Road to the North Pole
H. Jon Benjamin     Carl    7 - Road to the North Pole
David Boreanaz  Himself     7 - Road to the North Pole
Carrie Fisher   Angela  7 - Road to the North Pole
Ron MacFarlane  The Narrator    7 - Road to the North Pole
Bruce McGill    Santa Claus     7 - Road to the North Pole
Will Ryan   Winnie-the-Pooh     7 - Road to the North Pole
John Viener     Eeyore  7 - Road to the North Pole
Nana Visitor    Mother  7 - Road to the North Pole
Yvette Nicole Brown     Black Woman     8 - New Kidney in Town
Drew Carey  Himself     8 - New Kidney in Town
Gary Cole   Principal Shepherd  8 - New Kidney in Town
Christine Lakin     Joyce Kinney    8 - New Kidney in Town
Rachael MacFarlane  Charlotte   8 - New Kidney in Town
Kirker Butler   Guest   9 - And I'm Joyce Kinney
Colin Ford  Various     9 - And I'm Joyce Kinney
Christine Lakin     Joyce Kinney    9 - And I'm Joyce Kinney
Rachael MacFarlane  Various     9 - And I'm Joyce Kinney
Helen Reddy     Herself     9 - And I'm Joyce Kinney
Jennifer Tilly  Bonnie Swanson  9 - And I'm Joyce Kinney
H. Jon Benjamin     Carl    10 - Friends of Peter G.
Adam Carolla    Death   10 - Friends of Peter G.
Chris Cox   AA Member   10 - Friends of Peter G.
Carrie Fisher   Angela  10 - Friends of Peter G.
Phil LaMarr     Ollie Williams  10 - Friends of Peter G.
Jessica Stroup  Crowd Member    10 - Friends of Peter G.
Laura Vandervoort   AA Member   10 - Friends of Peter G.
Ralph Garman    Cop     11 - German Guy
Alan Tudyk  German Pilot    11 - German Guy
Dee Bradley Baker   Various     12 - The Hand That Rocks the Wheelchair
Colin Ford  Kid     12 - The Hand That Rocks the Wheelchair
Patrick Stewart     Susie Swanson   12 - The Hand That Rocks the Wheelchair
Jennifer Tilly  Bonnie Swanson  12 - The Hand That Rocks the Wheelchair
Gary Cole   Principal Shepherd  13 - Trading Places
Nina Dobrev     Various     13 - Trading Places
Carrie Fisher   Angela  13 - Trading Places
Rachael MacFarlane  Various     13 - Trading Places
Laura Vandervoort   Bridget     13 - Trading Places
Lisa Wilhoit    Connie D'Amico  13 - Trading Places
Drew Barrymore  Jillian     14 - Tiegs for Two
Ralph Garman    Police Clerk    14 - Tiegs for Two
Jessica Stroup  Denise  14 - Tiegs for Two
Cheryl Tiegs    Herself     14 - Tiegs for Two
Frank Welker    Megatron    14 - Tiegs for Two
Robert Wu   Mr. Washee-Washee   14 - Tiegs for Two
Meredith Baxter     Elise Keaton    15 - Brothers & Sisters
Michael Gross   Steven Baxter   15 - Brothers & Sisters
Julie Hagerty   Carol Pewterschmidt     15 - Brothers & Sisters
Robert Loggia   Himself     15 - Brothers & Sisters
Sarah Ramos     Teenage Girl    15 - Brothers & Sisters
Joe Flaherty    Vatican Worker  16 - The Big Bang Theory
Wallace Shawn   Bertram     16 - The Big Bang Theory
David Bowie     Himself (archive footage)   17 - Foreign Affairs
Mick Jagger     Himself (archive footage)   17 - Foreign Affairs
Gary Cole   Principal Shepherd  17 - Foreign Affairs
Dee Bradley Baker   Klaus Heissler/Admiral Ackbar   18 - It's a Trap!
Patrick Stewart     Captain Jean-Luc Picard     18 - It's a Trap!
Michael Dorn    Lieutenant Commander Worf   18 - It's a Trap!
Rush Limbaugh   The Rancor  18 - It's a Trap!
Anne Hathaway   Hot Blonde  18 - It's a Trap!
Bruce McGill    John Williams   18 - It's a Trap!
Mary Hart   Herself     18 - It's a Trap!
Conway Twitty   Darth Twitty (archive footage)  18 - It's a Trap!
Judy Greer  Showgirl Dancer     1 - Lottery Fever
Christine Lakin     Joyce Kinney    1 - Lottery Fever
Dee Bradley Baker   Hooded Monster  2 - Seahorse Seashell Party
Kaitlin Olson   Brenda  3 - Screams of Silence: The Story of Brenda Q
Adam Alexi-Malle    Adzin   4 - Stewie Goes for a Drive
Ryan Reynolds   Himself     4 - Stewie Goes for a Drive
Lacey Chabert   Pilot Meg   5 - Back to the Pilot
Phil LaMarr     Pilot Judge     5 - Back to the Pilot
Fred Tatasciore     Pilot John Madden   5 - Back to the Pilot
Chris Cox   George W. Bush  5 - Back to the Pilot
Scott Grimes    Kevin Swanson   6 - Thanksgiving
Julie Hagerty   Carol West  6 - Thanksgiving
Patrick Stewart     Susie Swanson   6 - Thanksgiving
Ari Graynor     Woman   7 - Amish Guy
Bobby Lee   Chinese Man     7 - Amish Guy
Missi Pyle  Woman   7 - Amish Guy
Kevin Michael Richardson    Roadblock   7 - Amish Guy
Bob Gunton  Warden  8 - Cool Hand Peter
Sanaa Lathan    Donna Tubbs     8 - Cool Hand Peter
Adam Carolla    Death   9 - Grumpy Old Man
Jack Carter     Various     9 - Grumpy Old Man
D. C. Douglas   Superman    9 - Grumpy Old Man
R. Lee Ermey    Drill Sergeant  9 - Grumpy Old Man
Joel David Moore    Avatar  9 - Grumpy Old Man
Linda Porter    Old Woman   9 - Grumpy Old Man
Mae Whitman     Fat Girl    9 - Grumpy Old Man
Wally Wingert   Various     9 - Grumpy Old Man
Marlee Matlin   Stella  11 - The Blind Side
Rob Corddry     Ben     12 - Livin' on a Prayer
Judy Greer  Hope    12 - Livin' on a Prayer
Mark Harmon     Leroy Jethro Gibbs  13 - Tom Tucker: The Man and His Dream
Danielle Harris     Jamie Lloyd (archive footage)   13 - Tom Tucker: The Man and His Dream
David Herman    David Strathairn    13 - Tom Tucker: The Man and His Dream
Christine Lakin     Joyce Kinney    13 - Tom Tucker: The Man and His Dream
Sanaa Lathan    Clair Huxtable  13 - Tom Tucker: The Man and His Dream
Ellen Page  Lindsey     13 - Tom Tucker: The Man and His Dream
George P. Wilbur    Michael Myers (archive footage)     13 - Tom Tucker: The Man and His Dream
James Woods     Himself     13 - Tom Tucker: The Man and His Dream
Ricky Gervais   Billy Finn  14 - Be Careful What You Fish For
Lucy Davis  Joanne Finn     14 - Be Careful What You Fish For
Scott Bakula    Himself (live action)   15 - Burning Down the Bayit
H. Jon Benjamin     Carl Graves     16 - Killer Queen
Jackson Douglas         16 - Killer Queen
Christine Lakin     Joyce Kinney    16 - Killer Queen
Jeff Ross   Himself     16 - Killer Queen
Eddie Kaye Thomas   Barry Robinson  16 - Killer Queen
Katharine McPhee    Mother Maggie   18 - You Can't Do That on Television, Peter
Cate Blanchett  Penelope    19 - Mr. and Mrs. Stewie
Omid Abtahi     Prince Faisal   20 - Leggo My Meg-O
Ken Page    Jakes Grand father  20 - Leggo My Meg-O
Alexa Ray Joel  Young Girl  21 - Tea Peter
Elizabeth Banks     Pam Fishman     1 - "Into Fat Air"
J.J. Abrams     Himself     2 - "Ratings Guy"
Sandra Bernhard     Herself     2 - "Ratings Guy"
Mark Burnett    Himself     2 - "Ratings Guy"
Dan Castellaneta    Homer Simpson   2 - "Ratings Guy"
Jon Hamm    Himself     2 - "Ratings Guy"
Dick Wolf   Himself     2 - "Ratings Guy"
Billy Gardell   Mike Biggs  2 - "Ratings Guy"
Michael Clarke Duncan   Various     2 - "Ratings Guy"
John de Lancie  Pewterschmidt Industries Executive  3 - "The Old Man and the Big 'C'"
Will Sasso  Bobby "The Shirt" Briggs    5 - "Joe's Revenge"
Jim Parsons     Gay-Jacker  5 - "Joe's Revenge"
Patrick Stewart     Susie Swanson   5 - "Joe's Revenge"
Johnny Depp     Edward Scissorhands     6 - "Lois Comes Out of Her Shell"
Ryan Reynolds   Overweight Guy  8 - "Jesus, Mary and Joseph!"
Bruce McGill    Unknown     8 - "Jesus, Mary and Joseph!"
Ellen Albertini Dow     Unknown     8 - "Jesus, Mary and Joseph!"
Brian Williams  Himself     9 - "Space Cadet"
Lucas Grabeel   Unknown     10 - "Brian's Play"
Alan Bennett    Himself     10 - "Brian's Play"
Sofía Vergara   Flower Saleswoman & Hispanic Woman  11 - "The Giggity Wife"
Megan Hilty     Hellen Keller's Teacher & Old Woman     11 - "The Giggity Wife"
Drew Barrymore  Jillian Russell     12 - "Valentine's Day in Quahog"
Jessica Biel    Brooke Roberts  12 - "Valentine's Day in Quahog"
Kat Foster  Carolyn     12 - "Valentine's Day in Quahog"
Emily Osment    Sandy   12 - "Valentine's Day in Quahog"
Jessica Stroup  Denise  12 - "Valentine's Day in Quahog"
Nicole Sullivan     Tina    12 - "Valentine's Day in Quahog"
Cheryl Tiegs    Herself     12 - "Valentine's Day in Quahog"
Nana Visitor    Rita    12 - "Valentine's Day in Quahog"
Anne Murray     Herself     13 - "Chris Cross"
Christine Baranski  Herself     14 - Call Girl"
Robert Loggia   Himself (Live Action)   14 - Call Girl"
Giovanni Ribisi     Randy   14 - Call Girl"
Omid Abtahi     Mahmoud     15 - "Turban Cowboy"
Bob Costas  Himself     15 - "Turban Cowboy"
Padma Lakshmi   Herself     16 - "12 and a Half Angry Men"
Mike Judge  Hank Hill   17 - "Bigfat"
Bill Maher  Himself     17 - "Bigfat"
Wendy Schaal    Francine Smith  17 - "Bigfat"
Carly Simon     Herself     18 - "Total Recall"
Tim Gunn    Himself     19 - "Save the Clam"
Emily Osment        19 - "Save the Clam"
Alexandra Breckenridge      21 - "Roads to Vegas"
Ralph Garman        21 - "Roads to Vegas"
Gary Janetti        21 - "Roads to Vegas"
Joe Lomonaco        21 - "Roads to Vegas"
Patrick Meighan         21 - "Roads to Vegas"
Emily Osment        21 - "Roads to Vegas"
Danny Smith         21 - "Roads to Vegas"
Alec Sulkin         21 - "Roads to Vegas"
John Viener         21 - "Roads to Vegas"
Hank Azaria     Reginald Barrington     22 - "No Country Club for Old Men"
Sean Bean   The Portrait of Peter Griffin's Ancestor    22 - "No Country Club for Old Men"
Tom Hiddleston  The Statue of Peter Griffin's Ancestor  22 - "No Country Club for Old Men"
Nick Cannon     Himself     22 - "No Country Club for Old Men"
Sharon Osbourne     Herself     22 - "No Country Club for Old Men"
Emma Roberts    Amanda Barrington   22 - "No Country Club for Old Men"
Yvette Nicole Brown     Black Woman     1 - "Finders Keepers"
Lea Thompson    Lorraine McFly  1 - "Finders Keepers"
Carrie Fisher   Angela  2 - "Vestigial Peter"
Patrick Stewart     Narrator    2 - "Vestigial Peter"
Adam Levine     Himself     3 - "Quagmire's Quagmire"
Rachael MacFarlane  Sonya   3 - "Quagmire's Quagmire"
Gary Cole   Principal Shepard   4 - "A Fistful of Meg"
Jeff Daniels    Himself     4 - "A Fistful of Meg"
Christina Milian    Esther  4 - "A Fistful of Meg"
Michelle Dockery    British Woman   5 - "Boopa-dee Bappa-dee"
Yvette Nicole Brown     Mourning Black Woman    6 - "Life of Brian"
Tony Sirico     Vinny   6 - "Life of Brian"
Tony Sirico     Vinny   7 - "Into Harmony's Way"
Nick Kroll  Ricky   7 - "Into Harmony's Way"
Conan O'Brien   Himself     7 - "Into Harmony's Way"
Tony Sirico     Vinny   8 - "Christmas Guy"
Carrie Fisher   Angela  9 - "Peter Problems"
Marlee Matlin   Stella  9 - "Peter Problems"
Brad Goreski    Gay Man No. 1   10 - "Grimm Job"
Liam Neeson     Himself     11 - "Brian's a Bad Father"
Ashley Benson   Dakota  11 - "Brian's a Bad Father"
Lucas Grabeel       11 - "Brian's a Bad Father"
Emily Osment        11 - "Brian's a Bad Father"
Kevin Michael Richardson    Marvin Gaye     11 - "Brian's a Bad Father"
Lauren Bacall   Evelyn  12 - "Mom's the Word"
Ariana Grande   Italian Daughter    12 - "Mom's the Word"
Glenn Howerton  Co-Worker at Meeting    12 - "Mom's the Word"
Adam Carolla    Death   13 - "3 Acts of God"
C. J. Spiller   Himself     13 - "3 Acts of God"
Mario Williams  Himself     13 - "3 Acts of God"
Peter Dinklage  Mr. Stone   15 - "Secondhand Spoke"
Cary Elwes  Dr. Watson  15 - "Secondhand Spoke"
Bryan Cranston  Himself (live-action sequence)  16 - "Herpe the Love Sore"
Patrick Stewart     Cutaway Narrator    16 - "Herpe the Love Sore"
Dennis Farina   Himself     17 - "The Most Interesting Man in the World"
Keke Palmer     Pam     18 - "Baby Got Black"
Cedric Yarbrough        18 - "Baby Got Black"
Sanaa Lathan    Donna Tubbs     20 - "He's Bla-ack!"
Isaac Hempstead-Wright  Aidan   21 - "Chap Stewie"
Rick Springfield    himself     21 - "Chap Stewie"
Cary Elwes      21 - "Chap Stewie"
David Thewlis   British Father  21 - "Chap Stewie"
Hank Azaria     Moe Szyslak, Apu Nahasapeemapetilon, Carl Carlson, Chief Wiggum, Comic Book Guy, Lou, Dr. Nick Riviera, Sea Captain, Cletus, Drederick Tatum, Bumblebee Man, Chamlers   1 - "The Simpsons Guy"
Nancy Cartwright    Bart Simpson, Nelson Muntz, Ralph Wiggum, Todd Flanders, Maggie Simpson     1 - "The Simpsons Guy"
Dan Castellaneta    Homer Simpson, Santa's Little Helper, Abraham Simpson, Barney Gumble, Krusty the Clown, Squeaky-Voiced Teen, Hans Moleman, Kodos, Mayor Quimby and Blue-Haired Lawyer   1 - "The Simpsons Guy"
Julie Kavner    Marge Simpson, Patty and Selma  1 - "The Simpsons Guy"
Yeardley Smith  Lisa Simpson    1 - "The Simpsons Guy"
H. Jon Benjamin     Bob Belcher     1 - "The Simpsons Guy"
Jeff Bergman    Fred Flintstone     1 - "The Simpsons Guy"
Julie Bowen     Claire Dunphy   1 - "The Simpsons Guy"
James Woods     Himself     1 - "The Simpsons Guy"
Mason Cook      2 - "The Book of Joe"
Glenn Howerton  Blake Walker    2 - "The Book of Joe"
Maya Rudolph    Chloe   2 - "The Book of Joe"
Connie Britton  Herself     3 - "Baking Bad"
Carl Lumbly     Loan Officer    3 - "Baking Bad"
Ana Ortiz   Cinnamon    3 - "Baking Bad"
Yvette Nicole Brown     Jerome's Mom    4 - "Brian the Closer"
Hank Azaria         7 - "Stewie, Chris & Brian's Excellent Adventure"
Tony Sirico     Himself (Live action sequence)  7 - "Stewie, Chris & Brian's Excellent Adventure"
Emily Osment    Ruth    8 - "Our Idiot Brian"
Allison Janney  Crystal Quagmire    10 - "Quagmire's Mom"
Seth MacFarlane
Alex Borstein
Seth Green
Lacey Chabert
Mila Kunis
Mike Henry
Patrick Warburton
Adam West
